observableId	simulationConditionId	time	measurement
y	default	0.0	0.12573
y	default	0.1	1.9729
y	default	0.2	5.08042
y	default	0.3	7.1399
y	default	0.4	9.38433
y	default	0.5	13.4866
y	default	0.6	17.984
y	default	0.7	21.56208
y	default	0.8	24.25626
y	default	0.9	28.47958
y	default	1.0	34.37673
y	default	1.1	40.79633
y	default	1.2	44.71497
y	default	1.3	53.66621
y	default	1.4	60.07409
y	default	1.5	68.64273
y	default	1.6	77.53574
y	default	1.7	87.1487
y	default	1.8	97.97163
y	default	1.9	109.43751
y	default	2.0	119.87147
y	default	2.1	133.77146
y	default	2.2	144.97481
y	default	2.3	160.08651
y	default	2.4	175.62347
y	default	2.5	190.71901
y	default	2.6	206.7365
y	default	2.7	224.39327
y	default	2.8	243.70227
y	default	2.9	264.2652
y	default	3.0	283.99038
y	default	3.1	306.84582
y	default	3.2	330.08077
y	default	3.3	355.12585
y	default	3.4	380.33466
y	default	3.5	407.23037
y	default	3.6	434.22617
y	default	3.7	464.03539
y	default	3.8	495.54398
y	default	3.9	528.18843
y	default	4.0	558.74093
y	default	4.1	596.21892
y	default	4.2	632.18588
y	default	4.3	669.21631
y	default	4.4	707.78446
y	default	4.5	747.81108
y	default	4.6	791.73802
y	default	4.7	835.97526
y	default	4.8	881.16163
y	default	4.9	927.6601
y	default	5.0	975.35738
y	default	5.1	1024.14668
y	default	5.2	1077.43555
y	default	5.3	1131.94147
y	default	5.4	1185.63164
y	default	5.5	1244.77012
y	default	5.6	1304.10986
y	default	5.7	1365.56104
y	default	5.8	1426.77588
y	default	5.9	1492.3333
y	default	6.0	1559.56356
y	default	6.1	1627.8352
y	default	6.2	1701.77937
y	default	6.3	1772.63909
y	default	6.4	1848.64897
y	default	6.5	1925.36643
y	default	6.6	2006.66347
y	default	6.7	2088.03536
y	default	6.8	2171.19335
y	default	6.9	2254.44149
y	default	7.0	2345.05203
y	default	7.1	2436.33869
y	default	7.2	2529.64396
y	default	7.3	2623.36709
y	default	7.4	2723.54201
y	default	7.5	2820.55457
y	default	7.6	2923.81847
y	default	7.7	3030.50005
y	default	7.8	3137.20905
y	default	7.9	3249.29739
y	default	8.0	3360.18852
y	default	8.1	3474.67181
y	default	8.2	3592.86244
y	default	8.3	3712.74385
y	default	8.4	3835.84232
y	default	8.5	3963.75541
y	default	8.6	4092.46117
y	default	8.7	4224.70956
y	default	8.8	4357.00539
y	default	8.9	4496.63411
y	default	9.0	4634.71261
y	default	9.1	4779.52941
y	default	9.2	4923.40721
y	default	9.3	5071.94952
y	default	9.4	5224.76979
y	default	9.5	5380.40645
y	default	9.6	5537.44101
y	default	9.7	5697.67947
y	default	9.8	5861.01878
y	default	9.9	6028.19348
y	default	10.0	6200.50268
